AMFI Code,Scheme Name,CAGR 1Y (%),CAGR 3Y (%),CAGR 5Y (%),Overall CAGR (%),Sharpe Ratio,Sortino Ratio,Alpha,Beta,Max Drawdown (%),Fund Scorecard (0-100),Expense Ratio (%)
119598,SBI Small Cap Fund - Regular Plan - Growth,78.62,25.03,31.1,31.1,0.9453082575156091,1.6753165700125514,0.3011144193310002,0.0742664848380288,-28.71,85.0,1.43
149324,DSP Small Cap Fund - Regular - Growth,62.01,25.86,30.97,30.97,0.9497958246616027,1.6197931764914104,0.2981786893056835,0.13260808824054154,-31.17,81.88,1.52
148569,Mirae Asset Tax Saver Fund - Regular - Growth,37.98,27.25,30.64,30.64,1.2349300257743294,2.146913926346055,0.28347336470728673,-0.010201365088271777,-16.4,76.67,1.6
119551,SBI Bluechip Fund - Regular Plan - Growth,57.57,29.12,24.77,24.77,1.2082665673727175,2.140267129061793,0.23219648016717326,-0.05604508562674627,-15.01,76.26,1.54
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,50.76,31.12,28.9,28.9,1.0936987435346313,1.8291339615146933,0.2723430403957973,-0.011199710059456157,-16.22,75.73,1.38
120505,ICICI Pru Midcap Fund - Regular - Growth,28.33,30.24,31.48,31.48,1.1801011976606492,2.029352940465747,0.29301371282563315,-0.017391171743071688,-18.19,74.84,1.36
120843,Kotak Flexicap Fund - Regular - Growth,25.52,28.49,29.65,29.65,1.3067439695428407,2.364320032166717,0.2727835993505962,-0.008737359353900988,-12.97,73.91,1.45
148567,Mirae Asset Large Cap Fund - Regular - Growth,19.51,32.76,29.71,29.71,1.4482911703262593,2.385644373368817,0.2711501636821103,-0.02813331223165745,-11.27,73.7,1.46
149323,DSP Midcap Fund - Regular - Growth,20.58,25.81,28.38,28.38,1.132121852474724,1.8751010639192083,0.26583594480787764,0.0034785300797906724,-17.25,69.86,1.61
119094,Axis Midcap Fund - Regular - Growth,21.33,33.88,27.08,27.08,0.9982309868636414,1.703797480246301,0.25997054053321056,-0.05986815058386658,-20.96,68.54,1.38
118632,Nippon India Large Cap Fund - Regular - Growth,32.49,21.68,23.09,23.09,1.0816591793457038,1.8501325468557266,0.21728068775563278,0.036434217731472866,-17.41,68.17,1.51
101206,ABSL Frontline Equity Fund - Regular - Growth,45.73,27.52,22.6,22.6,1.0272133278753697,1.799562874698451,0.2139447485061358,0.03381398454659162,-11.29,68.14,1.6
120504,ICICI Pru Bluechip Fund - Direct - Growth,12.54,31.79,22.37,22.37,1.0265242847992997,1.805293794099255,0.2120943009940057,0.017025361766949264,-12.59,61.48,0.8
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,13.69,14.1,21.63,21.63,0.9262873467360144,1.6327409778735171,0.2079171509667248,5.11619674096076e-05,-15.27,60.44,1.52
120506,ICICI Pru Value Discovery Fund - Regular - Growth,39.94,17.15,16.42,16.42,0.6488787755249535,1.0958951614736472,0.16283731486753183,0.047708015202565096,-19.83,58.85,1.41
125497,HDFC Top 100 Fund - Direct Plan - Growth,27.44,17.41,18.28,18.28,0.7757902498211211,1.3306512447571364,0.1789129568352085,-0.0054593165590488425,-15.2,58.37,0.92
119552,SBI Bluechip Fund - Direct Plan - Growth,5.48,15.13,20.68,20.68,0.9532794968660092,1.609776489628308,0.1982932218749148,-0.019853025049675753,-11.8,57.25,0.66
102885,UTI Nifty 50 Index Fund - Regular - Growth,19.37,18.88,17.52,17.52,0.8170993373494365,1.4357420130649485,0.16992711557794749,-0.0018841874054637215,-10.86,55.64,1.57
