amfi_code,scheme_name,fund_house,category,var_95,cvar_95,annual_return,annual_volatility,sharpe_ratio,days_analyzed
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,-0.026021248221061066,-0.03245905898704435,0.1069621227736075,0.25797322217077745,0.4146249051492597,1149
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,-0.02685943514961382,-0.03238412245049217,0.0507318653023297,0.24950125122855873,0.20333310976407143,1149
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,-0.025438111458963106,-0.032304072697818535,0.1781915642892773,0.25241520946340457,0.7059462251426323,1149
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,-0.02618842440959035,-0.03166729360598028,0.04595602382589967,0.25066580232600455,0.18333583360577982,1149
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,-0.023483069386777154,-0.03103625202188441,0.300931229977172,0.24840205005242103,1.2114683832668272,1149
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,-0.0245070519056771,-0.03059526410880242,0.30265596572351255,0.2514057862438468,1.2038544149893053,1149
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,-0.01889178619869274,-0.02434207039551981,0.2926527249840709,0.19290949406318195,1.517046770586734,1149
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,-0.018480276243938307,-0.02426005947837057,0.25872785977673984,0.19407117423334716,1.3331596554656326,1149
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,-0.019033535861558825,-0.023455762770703794,0.27211056847152365,0.18936710835214157,1.4369473708470784,1149
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,-0.01922028344426503,-0.023250860269221213,0.027673310029606265,0.18134576297311292,0.15259970553438973,1149
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,-0.018365320169601018,-0.02309379305316794,0.12016959264353062,0.18352430087335792,0.6547884507482984,1149
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,-0.01821853045255608,-0.02272497526268088,0.07859995621336482,0.17894715006571874,0.439235585392105,1149
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,-0.017882076201903473,-0.02260664210042033,0.26590814851467,0.17746159397550845,1.4983982875267539,1149
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,-0.017118192655621135,-0.021328305810328105,0.28326161538880446,0.17674006691346697,1.6027017548176616,1149
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,-0.015231617279157872,-0.019411182679158694,0.1626258549662886,0.15758366917913,1.031996880218768,1149
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,-0.014388462899080912,-0.01940489860249691,0.16382758819055004,0.1523051637967306,1.0756535373232485,1149
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,-0.014711531333512795,-0.01876476958423089,0.20791821293359272,0.15429144469823297,1.3475679960106945,1149
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,-0.014473851983792741,-0.018401747612732604,0.13160728496649923,0.14353859818510517,0.9168773182303237,1149
